IRE,I110,I300,I202,I100,I034,I245,I042,I050,I161,I038,I000,I550,I040,I070,I310,I500,hexdata,len,I010,I120,I210,I200,I041,I131,category,I090,I080,I030,I140,I020,I141,I220,I250,ts,I036,I091,I270,crc,ISP,I130,I170,I060
,,,,,,,,,,,,,,,,,,76,,,,,,,56,,,,,,,,,1741740517035.0,,,,00000000,,,,
,,,,"{'V': {'desc': '', 'val': 1, 'meaning': 'Code not validated'}, 'G': {'desc': '', 'val': 0, 'meaning': 'Default'}, 'spare': {'desc': 'spare bits set to 0', 'val': 7, 'const': 0}, 'ModeC': {'desc': 'Mode-C reply in Gray notation', 'val': 54}, 'QC1': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QA1': {'desc': '', 'val': 1, 'meaning': 'Low quality pulse'}, 'QC2': {'desc': '', 'val': 1, 'meaning': 'Low quality pulse'}, 'QA2': {'desc': '', 'val': 1, 'meaning': 'Low quality pulse'}, 'QC4': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QA4': {'desc': '', 'val': 1, 'meaning': 'Low quality pulse'}, 'QB1': {'desc': '', 'val': 1, 'meaning': 'Low quality pulse'}, 'QD1': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QB2': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QD2': {'desc': '', 'val': 1, 'meaning': 'Low quality pulse'}, 'QB4': {'desc': '', 'val': 1, 'meaning': 'Low quality pulse'}, 'QD4': {'desc': '', 'val': 1, 'meaning': 'Low quality pulse'}}",,,,,,,,,,,,,013800520090367767,9,,,,,,"{'Power': {'desc': '', 'val': 0}}",1,,"{'spare': {'desc': 'spares bit set to 0', 'val': 5, 'const': 0}, 'QA4': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QA2': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QA1': {'desc': '', 'val': 1, 'meaning': 'Low quality pulse'}, 'QB4': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QB2': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QB1': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QC4': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QC2': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QC1': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QD4': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QD2': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QD1': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}}",,,,,,,1741740517035.0,,,,DF6996D6,,,,
,,,,,,,,,,,,,,"{'V': {'desc': '', 'val': 0, 'meaning': 'Code validated'}, 'G': {'desc': '', 'val': 1, 'meaning': 'Garbled code'}, 'L': {'desc': '', 'val': 0, 'meaning': 'Mode-3/A code as derived from the reply of the transponder'}, 'spare': {'desc': 'spare bit set to 0', 'val': 0, 'const': 0}, 'Mode3A': {'desc': 'Mode-3/A reply code', 'val': '7365'}}",,,15004EF51B7B5BD386,9,,,,,,,1,,,,,,,,,1741740517035.0,,,,236771CB,,"[{'Ind': {'desc': 'Indicator', 'val': 13}, 'FX': {'desc': 'extension into next extent', 'val': 1}}, {'Ind': {'desc': 'Indicator', 'val': 61}, 'FX': {'desc': 'extension into next extent', 'val': 1}}, {'Ind': {'desc': 'Indicator', 'val': 45}, 'FX': {'desc': 'extension into next extent', 'val': 1}}, {'Ind': {'desc': 'Indicator', 'val': 105}, 'FX': {'desc': 'extension into next extent', 'val': 1}}, {'Ind': {'desc': 'Indicator', 'val': 67}, 'FX': {'desc': 'extension into next extent', 'val': 0}}]",,
,,,,,,,,,,,,,,,,,081E01,3,,,,,,,1,"{'V': {'desc': '', 'val': 0, 'meaning': 'Code validated'}, 'G': {'desc': '', 'val': 0, 'meaning': 'Default'}, 'ModeC': {'desc': 'Mode-C reply code', 'val': 1920.25}}",,,,,,,,1741740517035.0,,,,53D6EDD4,,,,
,,,,,,,,,,,,,,,,,031009B90011,6,,,,,,,1,,"{'spare': {'desc': 'spares bit set to 0', 'val': 0, 'const': 0}, 'QA4': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QA2': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QA1': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QB4': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QB2': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QB1': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QC4': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QC2': {'desc': '', 'val': 1, 'meaning': 'Low quality pulse'}, 'QC1': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QD4': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QD2': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QD1': {'desc': '', 'val': 1, 'meaning': 'Low quality pulse'}}",,,,"{'Time': {'desc': '', 'val': 19.4453125}}",,,1741740517035.0,,,,41DD3DCD,,,,
,,,,"{'V': {'desc': '', 'val': 0, 'meaning': 'Code validated'}, 'G': {'desc': '', 'val': 0, 'meaning': 'Default'}, 'spare': {'desc': 'spare bits set to 0', 'val': 13, 'const': 0}, 'ModeC': {'desc': 'Mode-C reply in Gray notation', 'val': 65}, 'QC1': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QA1': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QC2': {'desc': '', 'val': 1, 'meaning': 'Low quality pulse'}, 'QA2': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QC4': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QA4': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QB1': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QD1': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QB2': {'desc': '', 'val': 1, 'meaning': 'Low quality pulse'}, 'QD2': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QB4': {'desc': '', 'val': 1, 'meaning': 'Low quality pulse'}, 'QD4': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}}",,,,"{'V': {'desc': '', 'val': 0, 'meaning': 'Code validated'}, 'G': {'desc': '', 'val': 0, 'meaning': 'Default'}, 'L': {'desc': '', 'val': 0, 'meaning': 'Mode-2 code as derived from the reply of the transponder'}, 'spare': {'desc': 'spare bit set to 0', 'val': 0, 'const': 0}, 'Mode2': {'desc': 'Mode-2 code', 'val': '3407'}}",,,,,"{'RHO': {'desc': '', 'val': 208.0, 'max': 512.0}, 'THETA': {'desc': '', 'val': 11.2884521484375}}","{'V': {'desc': '', 'val': 0, 'meaning': 'Code validated'}, 'G': {'desc': '', 'val': 0, 'meaning': 'Default'}, 'L': {'desc': '', 'val': 0, 'meaning': 'Mode-3/A code as derived from the reply of the transponder'}, 'spare': {'desc': 'spare bit set to 0', 'val': 0, 'const': 0}, 'Mode3A': {'desc': 'Mode-3/A reply code', 'val': '4007'}}",,,F19E3FAF0A6800080708070707C8163041D20A01DA054F00,24,"{'SAC': {'desc': 'System Area Code', 'val': 63}, 'SIC': {'desc': 'System Identification Code', 'val': 175}}",,,,,,1,,"{'spare': {'desc': 'spares bit set to 0', 'val': 12, 'const': 0}, 'QA4': {'desc': '', 'val': 1, 'meaning': 'Low quality pulse'}, 'QA2': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QA1': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QB4': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QB2': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QB1': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QC4': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QC2': {'desc': '', 'val': 1, 'meaning': 'Low quality pulse'}, 'QC1': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QD4': {'desc': '', 'val': 1, 'meaning': 'Low quality pulse'}, 'QD2': {'desc': '', 'val': 1, 'meaning': 'Low quality pulse'}, 'QD1': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}}","[{'WE': {'desc': 'First warning/error condition value', 'val': 2, 'meaning': 'reflection'}, 'FX': {'desc': '', 'val': 1, 'meaning': 'Extension into next extent'}}, {'WE': {'desc': 'First warning/error condition value', 'val': 39, 'meaning': '???'}, 'FX': {'desc': '', 'val': 1, 'meaning': 'Extension into next extent'}}, {'WE': {'desc': 'First warning/error condition value', 'val': 0, 'meaning': 'no warning nor error condition'}, 'FX': {'desc': '', 'val': 0, 'meaning': 'End of Data Item'}}]",,"{'TYP': {'desc': '', 'val': 0, 'meaning': 'Plot'}, 'SIM': {'desc': '', 'val': 0, 'meaning': 'Actual plot or track'}, 'SSRPSR': {'desc': '', 'val': 0, 'meaning': 'No detection'}, 'ANT': {'desc': '', 'val': 1, 'meaning': 'Target report from antenna 2'}, 'SPI': {'desc': '', 'val': 0, 'meaning': 'Default'}, 'RAB': {'desc': '', 'val': 1, 'meaning': 'Plot or track from a fixed transponder'}, 'FX': {'desc': '', 'val': 0, 'meaning': 'End of Data Item'}}",,,,1741740517035.0,,,,55D6C1FE,,,,"{'spare': {'desc': 'spares bit set to 0', 'val': 0, 'const': 0}, 'QA4': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QA2': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QA1': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QB4': {'desc': '', 'val': 1, 'meaning': 'Low quality pulse'}, 'QB2': {'desc': '', 'val': 1, 'meaning': 'Low quality pulse'}, 'QB1': {'desc': '', 'val': 1, 'meaning': 'Low quality pulse'}, 'QC4': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QC2': {'desc': '', 'val': 1, 'meaning': 'Low quality pulse'}, 'QC1': {'desc': '', 'val': 1, 'meaning': 'Low quality pulse'}, 'QD4': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QD2': {'desc': '', 'val': 1, 'meaning': 'Low quality pulse'}, 'QD1': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}}"
,,,,,,,,,,,,,,,,,00,1,,,,,,,1,,,,,,,,,1741740517035.0,,,,A505DF1B,,,,
,,,,,,,,,,,,,,,,,00,1,,,,,,,1,,,,,,,,,1741740517035.0,,,,A505DF1B,,,,
,,,,,,,,,,,,,,,,,0750F31C07082C1122,9,,"{'mrdp': {'desc': 'Speed', 'val': 44}}",,,,,1,,"{'spare': {'desc': 'spares bit set to 0', 'val': 1, 'const': 0}, 'QA4': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QA2': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QA1': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QB4': {'desc': '', 'val': 1, 'meaning': 'Low quality pulse'}, 'QB2': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QB1': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QC4': {'desc': '', 'val': 1, 'meaning': 'Low quality pulse'}, 'QC2': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QC1': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QD4': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QD2': {'desc': '', 'val': 1, 'meaning': 'Low quality pulse'}, 'QD1': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}}",,,,"{'Time': {'desc': '', 'val': 14.0625}}",,,1741740517035.0,,,,21CD55C9,,"[{'Ind': {'desc': 'Indicator', 'val': 121}, 'FX': {'desc': 'extension into next extent', 'val': 1}}, {'Ind': {'desc': 'Indicator', 'val': 14}, 'FX': {'desc': 'extension into next extent', 'val': 0}}]",,
,,,,"{'V': {'desc': '', 'val': 0, 'meaning': 'Code validated'}, 'G': {'desc': '', 'val': 0, 'meaning': 'Default'}, 'spare': {'desc': 'spare bits set to 0', 'val': 1, 'const': 0}, 'ModeC': {'desc': 'Mode-C reply in Gray notation', 'val': 1285}, 'QC1': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QA1': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QC2': {'desc': '', 'val': 1, 'meaning': 'Low quality pulse'}, 'QA2': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QC4': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QA4': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QB1': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QD1': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QB2': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QD2': {'desc': '', 'val': 1, 'meaning': 'Low quality pulse'}, 'QB4': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QD4': {'desc': '', 'val': 1, 'meaning': 'Low quality pulse'}}",,,,,"{'tpn': {'desc': 'Track Plot Number', 'val': 2}}",,,,"{'RHO': {'desc': '', 'val': 11.8984375, 'max': 512.0}, 'THETA': {'desc': '', 'val': 272.5982666015625}}",,,,F1D7382003A550000205F3C1D9001704120505000405051205380054,28,"{'SAC': {'desc': 'System Area Code', 'val': 32}, 'SIC': {'desc': 'System Identification Code', 'val': 3}}",,"[{'Qty': {'desc': 'Quality indicator', 'val': 2}, 'FX': {'desc': '', 'val': 0, 'meaning': 'End of Data Item'}}]",,,"{'Power': {'desc': '', 'val': 5}}",1,"{'V': {'desc': '', 'val': 0, 'meaning': 'Code validated'}, 'G': {'desc': '', 'val': 0, 'meaning': 'Default'}, 'ModeC': {'desc': 'Mode-C reply code', 'val': 5.75}}",,"[{'WE': {'desc': 'First warning/error condition value', 'val': 42, 'meaning': '???'}, 'FX': {'desc': '', 'val': 0, 'meaning': 'End of Data Item'}}]",,"{'TYP': {'desc': '', 'val': 1, 'meaning': 'Track'}, 'SIM': {'desc': '', 'val': 0, 'meaning': 'Actual plot or track'}, 'SSRPSR': {'desc': '', 'val': 2, 'meaning': 'Sole secondary detection'}, 'ANT': {'desc': '', 'val': 0, 'meaning': 'Target report from antenna 1'}, 'SPI': {'desc': '', 'val': 1, 'meaning': 'Special Position Identification'}, 'RAB': {'desc': '', 'val': 0, 'meaning': 'Default'}, 'FX': {'desc': '', 'val': 0, 'meaning': 'End of Data Item'}, 'TST': {'desc': '', 'val': 0, 'meaning': 'Default'}, 'DS1DS2': {'desc': '', 'val': 2, 'meaning': 'Radio-communication failure (code 7600)'}, 'ME': {'desc': '', 'val': 1, 'meaning': 'Military emergency'}, 'MI': {'desc': '', 'val': 0, 'meaning': 'Default'}, 'spare': {'desc': 'spare bits set to 0', 'val': 0, 'const': 0}}","{'Time': {'desc': '', 'val': 8.140625}}",,,1741740517035.0,,,,CA8AB064,,,"{'CON': {'desc': '', 'val': 0, 'meaning': 'Confirmed track'}, 'RAD': {'desc': '', 'val': 0, 'meaning': 'Primary track'}, 'MAN': {'desc': '', 'val': 0, 'meaning': 'Default'}, 'DOU': {'desc': '', 'val': 0, 'meaning': 'Default'}, 'RDPC': {'desc': '', 'val': 0, 'meaning': 'RDP Chain 1'}, 'spare': {'desc': 'spare bits set to 0', 'val': 0, 'const': 0}, 'GHO': {'desc': '', 'val': 0, 'meaning': 'Default'}, 'FX': {'desc': '', 'val': 0, 'meaning': 'End of Data Item'}, 'TRE': {'desc': '', 'val': 0, 'meaning': 'Default'}}","{'spare': {'desc': 'spares bit set to 0', 'val': 3, 'const': 0}, 'QA4': {'desc': '', 'val': 1, 'meaning': 'Low quality pulse'}, 'QA2': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QA1': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QB4': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QB2': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QB1': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QC4': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QC2': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QC1': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QD4': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QD2': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}, 'QD1': {'desc': '', 'val': 0, 'meaning': 'High quality pulse'}}"
