flight_key,date,samples,first_time
FFM3620_WMKP_VTBS_2025-01-01 02:15,2025-01-01,278,2025-01-01 03:47:48
OMA833_OOMS_VTSP_2024-12-31 18:40,2025-01-01,389,2025-01-01 00:35:37
TLM785_VTSF_VTBD_2025-01-01 06:20,2025-01-01,258,2025-01-01 06:18:42
TLM951_ZLXY_VTBD_2025-01-01 17:35,2025-01-01,257,2025-01-01 21:36:01
AET09_VTSB_VTSB_2025-01-02 07:00,2025-01-02,1616,2025-01-02 07:24:14
AIC304_VIDP_VTBS_2025-01-02 11:05,2025-01-02,342,2025-01-02 15:19:13
AIQ5420_VTCC_VTSB_2025-01-02 03:55,2025-01-02,109,2025-01-02 03:53:05
BKP1171_VTBS_VTSM_2025-01-04 10:25,2025-01-04,415,2025-01-04 11:25:56
BKP185_VTBS_VTSM_2025-01-04 12:15,2025-01-04,292,2025-01-04 12:54:51
BKP455_VTBD_VTSM_2025-01-04 11:55,2025-01-04,246,2025-01-04 12:31:18
BKP962_WSSS_VTSM_2025-01-04 12:10,2025-01-04,267,2025-01-04 14:44:10
JAL727_RJBB_VTBS_2025-01-04 15:45,2025-01-04,180,2025-01-04 21:59:53
TGW648_WSSS_VTSM_2025-01-04 09:35,2025-01-04,316,2025-01-04 11:52:36
TLM620_VTBD_VTUU_2025-01-05 00:35,2025-01-05,311,2025-01-05 00:54:35
TLM761_VTSP_VTBD_2025-01-05 13:20,2025-01-05,456,2025-01-05 13:36:17
TLM792_VTBD_VTSF_2025-01-05 12:10,2025-01-05,327,2025-01-05 12:15:34
AET09_VTSE_VTSE_2025-01-06 09:00,2025-01-06,736,2025-01-06 09:35:43
ORCA02_VTPH_VTSB_2025-01-06 07:40,2025-01-06,313,2025-01-06 07:56:32
TLM399_RCTP_VTBD_2025-01-06 02:55,2025-01-06,245,2025-01-06 06:32:11
TLM764_VTBD_VTSP_2025-01-06 13:00,2025-01-06,334,2025-01-06 13:15:39
AET09_VTSB_VTSE_2025-01-07 06:30,2025-01-07,1099,2025-01-07 06:41:41
DAZE_VTUU_VTUU_2025-01-07 06:15,2025-01-07,171,2025-01-07 06:00:05
HSJUN_VTBD_VTPH_2025-01-07 07:30,2025-01-07,494,2025-01-07 07:27:22
HUNTER_VTUD_VTUD_2025-01-07 03:45,2025-01-07,428,2025-01-07 03:46:23
LKY275_VTBU_VTBU_2025-01-07 11:00,2025-01-07,1125,2025-01-07 11:23:21
NISMO_VTUU_VTUU_2025-01-07 02:15,2025-01-07,229,2025-01-07 02:35:20
SNSH107_VTPO_VTPO_2025-01-07 03:30,2025-01-07,676,2025-01-07 03:33:49
AET03_VTBD_VTBD_2025-01-08 23:30,2025-01-08,641,2025-01-08 23:06:38
AIC354_VABB_VTBS_2025-01-08 02:15,2025-01-08,266,2025-01-08 06:51:42
ORCA02_VTSB_VTSB_2025-01-08 06:00,2025-01-08,282,2025-01-08 06:11:50
RCB874_VTBD_VTBD_2025-01-08 04:30,2025-01-08,230,2025-01-08 04:55:52
SNY103_VTBK_VTBD_2025-01-08 03:00,2025-01-08,495,2025-01-08 03:17:42
TZP51_RJAA_VTBS_2025-01-08 08:00,2025-01-08,352,2025-01-08 15:11:33
AET03_VTBD_VTBD_2025-01-08 23:30,2025-01-09,381,2025-01-08 23:59:58
