flight_key,date,samples,first_time
HAW45_VTUV_VTUV_2025-03-01 07:45,2025-03-01,799,2025-03-01 08:19:11
HAW46_VTUV_VTUV_2025-03-01 08:15,2025-03-01,916,2025-03-01 09:04:16
IGO1067_VOHS_VTBS_2025-02-28 22:46,2025-03-01,184,2025-03-01 01:44:39
ABY821_OMSJ_VTBS_2025-03-03 17:50,2025-03-03,153,2025-03-03 23:37:10
AET09_VTSP_VTSP_2025-03-03 22:30,2025-03-03,990,2025-03-03 22:35:51
HAW21_VTUV_VTUV_2025-03-03 01:00,2025-03-03,1227,2025-03-03 01:28:33
HAW23_VTUV_VTUV_2025-03-03 01:00,2025-03-03,519,2025-03-03 01:35:13
HAW31_VTUV_VTUV_2025-03-03 03:30,2025-03-03,565,2025-03-03 03:17:33
HAW36_VTUV_VTUV_2025-03-03 05:00,2025-03-03,852,2025-03-03 05:23:26
HAW37_VTUV_VTUV_2025-03-03 05:45,2025-03-03,495,2025-03-03 06:52:32
HAW42_VTUV_VTUV_2025-03-03 06:30,2025-03-03,509,2025-03-03 07:07:06
HAW43_VTUV_VTUV_2025-03-03 07:00,2025-03-03,692,2025-03-03 07:19:20
HAW45_VTUV_VTUV_2025-03-03 08:00,2025-03-03,398,2025-03-03 08:32:18
SHARK_VTSB_VTSB_2025-03-03 05:10,2025-03-03,381,2025-03-03 05:34:19
ECHO02_VTSB_VTSB_2025-03-04 03:00,2025-03-04,264,2025-03-04 03:08:05
HAW23_VTUV_VTUV_2025-03-04 01:00,2025-03-04,501,2025-03-04 01:33:49
HAW25_VTUV_VTUV_2025-03-04 02:15,2025-03-04,341,2025-03-04 03:11:20
HAW27_VTUV_VTUV_2025-03-04 02:45,2025-03-04,303,2025-03-04 03:36:08
HAW34_VTUV_VTUV_2025-03-04 04:30,2025-03-04,534,2025-03-04 05:15:13
HAW36_VTUV_VTUV_2025-03-04 05:15,2025-03-04,279,2025-03-04 06:34:15
HOOCH_VTUU_VTUU_2025-03-04 05:30,2025-03-04,109,2025-03-04 05:33:01
ORCA03_VTSB_VTSB_2025-03-04 02:30,2025-03-04,298,2025-03-04 02:33:53
ORCA202_VTSB_VTSB_2025-03-04 06:00,2025-03-04,231,2025-03-04 06:13:52
STF01_VTCC_VTPP_2025-03-04 03:30,2025-03-04,120,2025-03-04 03:49:03
GOLEM_VTUD_VTUD_2025-03-05 07:10,2025-03-05,85,2025-03-05 07:22:47
